id,symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,created_at,updated_at,reportedCurrency,totalRevenue,costOfRevenue,operatingIncome,grossProfit,operatingCashflow,netIncome
173,U,2020-12-31,2021-02-04,-0.1,-0.1456,0.0456,31.3187,2021-11-30 10:45:16 UTC,2021-11-30 10:45:17 UTC,USD,220873000,187292000,-80847000,167829000,14765000,-83502000
70,AAPL,2020-12-31,2021-01-27,1.68,1.4158,0.2642,18.6608,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,110801000000,72742000000,33534000000,44328000000,38763000000,28755000000
24,TSLA,2020-12-31,2021-01-27,0.8,1.0514,-0.2514,-23.911,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,10744000000,8678000000,575000000,2066000000,3019000000,270000000
4,GOOG,2020-12-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,56118000000,26080000000,15651000000,30038000000,,15227000000
339,LOW,2020-10-31,2020-11-18,1.98,1.9561,0.0239,1.2218,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
320,LOW,2020-10-30,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:53 UTC,USD,21022000000,20134000000,2175000000,7300000000,-267000000,692000000
441,FANG,2020-09-30,2020-11-02,0.62,0.3601,0.2599,72.1744,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,720000000,1522000000,-1256000000,-802000000,542000000,-1113000000
222,AMZN,2020-09-30,2020-10-29,12.37,7.5312,4.8388,64.2501,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,95717000000,66408000000,6194000000,29309000000,11964000000,6331000000
183,FB,2020-09-30,2020-10-29,2.4,1.9113,0.4887,25.569,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,21466000000,4194000000,8040000000,17272000000,9829000000,7846000000
174,U,2020-09-30,2020-11-12,-0.09,-0.151,0.061,40.3974,2021-11-30 10:45:16 UTC,2021-11-30 10:45:17 UTC,USD,200177000,232342000,-141683000,153244000,20567000,-144719000
