symbol,name,reportDate,fiscalDateEnding,estimate,currency
CZR,Caesars Entertainment Inc,2022-02-25,2021-12-31,-0.68,USD
CZWI,Citizens Community Bancorp Inc MD,2022-01-26,2021-12-31,0.41,USD
D,Dominion Energy Inc,2022-02-10,2021-12-31,0.93,USD
DAC,Danaos Corporation,2022-02-14,2021-12-31,4.51,USD
DAIO,Data io Corp,2022-02-23,2021-12-31,0.01,USD
DAKT,Daktronics Inc,2021-12-01,2021-11-30,,USD
DAL,Delta Air Lines Inc,2022-01-12,2021-12-31,-0.24,USD
DAN,Dana Inc,2022-02-16,2021-12-31,0.19,USD
DAO,Youdao Inc,2022-02-23,2021-12-31,-0.16,USD
DASH,DoorDash Inc - Class A,2022-02-23,2021-12-31,-0.28,USD
DAVA,Endava plc,2022-02-15,2021-12-31,,GBP
DBD,Diebold Nixdorf Inc,2022-02-21,2021-12-31,0.57,USD
DBI,Designer Brands Inc - Class A,2021-12-07,2021-11-30,0.55,USD
DBOXF,DBOXF,2022-02-09,2021-12-31,,CAD
DBRG,DigitalBridge Group Inc - Class A,2022-02-21,2021-12-31,-0.1,USD
DBX,Dropbox Inc - Class A,2022-02-16,2021-12-31,0.37,USD
DCI,Donaldson Co. Inc,2021-12-01,2021-10-31,0.55,USD
DCI,Donaldson Co. Inc,2022-02-23,2022-01-31,,USD
DCO,Ducommun Inc,2022-02-09,2021-12-31,0.8,USD
DCOM,Dime Community Bancshares Inc,2022-01-26,2021-12-31,,USD
DCP,DCP Midstream LP,2022-02-08,2021-12-31,0.8,USD
DCPH,Deciphera Pharmaceuticals Inc,2022-02-07,2021-12-31,-1.29,USD
DCT,Duck Creek Technologies Inc,2022-01-05,2021-11-30,0.01,USD
DD,DuPont de Nemours Inc,2022-02-07,2021-12-31,,USD
DDHRF,DDHRF,2022-02-14,2021-12-31,,USD
DDOG,Datadog Inc - Class A,2022-02-09,2021-12-31,0.12,USD
DDS,Dillard`s Inc - Class A,2022-02-21,2021-11-30,11.94,USD
DE,Deere & Company,2022-02-17,2022-01-31,3.06,USD
DEA,Easterly Government Properties Inc,2022-02-22,2021-12-31,0.12,USD
DECK,Deckers Outdoor Corp,2022-02-02,2021-12-31,8.12,USD
DEI,Douglas Emmett Inc,2022-02-07,2021-12-31,0.11,USD
DELL,Dell Technologies Inc - Class C,2022-02-24,2022-01-31,1.87,USD
DENN,Denny`s Corp,2022-02-14,2021-12-31,0.17,USD
DFCO,DFCO,2022-02-10,2021-12-31,,USD
DFIN,Donnelley Financial Solutions Inc,2022-02-23,2021-12-31,1,USD
DFS,Discover Financial Services,2022-01-18,2021-12-31,3.49,USD
DG,Dollar General Corp,2021-12-02,2021-10-31,2.01,USD
DGICA,Donegal Group Inc - Class A,2022-02-21,2021-12-31,0.38,USD
DGII,Digi International Inc,2022-02-01,2021-12-31,0.22,USD
DGX,Quest Diagnostics Inc,2022-02-02,2021-12-31,2.89,USD
DHC,Diversified Healthcare Trust,2022-02-22,2021-12-31,-0.23,USD
DHI,D.R. Horton Inc,2022-01-24,2021-12-31,2.79,USD
DHIL,Diamond Hill Investment Group Inc - Class A,2022-02-23,2021-12-31,,USD
DHR,Danaher Corp,2022-01-26,2021-12-31,2.48,USD
DHT,DHT Holdings Inc,2022-02-07,2021-12-31,-0.06,USD
DHX,DHI Group Inc,2022-02-02,2021-12-31,0.01,USD
DIOD,Diodes Inc,2022-02-14,2021-12-31,1.45,USD
DIS,Walt Disney Co (The),2022-02-09,2021-12-31,0.64,USD
DISCA,Discovery Inc - Class A,2022-02-21,2021-12-31,0.83,USD
DISH,Dish Network Corp - Class A,2022-02-21,2021-12-31,0.85,USD
DIT,Amcon Distributing Company,2022-01-17,2021-12-31,,USD
DJCO,Daily Journal Corporation,2021-12-15,2021-09-30,,USD
DJCO,Daily Journal Corporation,2022-02-10,2021-12-31,,USD
DK,Delek US Holdings Inc,2022-02-21,2021-12-31,-0.26,USD
DKL,Delek Logistics Partners LP,2022-02-21,2021-12-31,0.99,USD
DKNG,DraftKings Inc - Class A,2022-02-24,2021-12-31,-0.75,USD
DLA,Delta Apparel Inc,2022-02-07,2021-12-31,0.32,USD
DLB,Dolby Laboratories Inc - Class A,2022-01-26,2021-12-31,1.06,USD
DLHC,DLH Holdings Corp,2021-12-06,2021-09-30,0.22,USD
DLHC,DLH Holdings Corp,2022-01-31,2021-12-31,,USD
DLMAF,DLMAF,2021-12-08,2021-10-31,,USD
DLR,Digital Realty Trust Inc,2022-02-09,2021-12-31,0.32,USD
DLTH,Duluth Holdings Inc - Class B,2021-12-02,2021-10-31,-0.19,USD
DLX,Deluxe Corp,2022-02-02,2021-12-31,1.29,USD
DMLP,Dorchester Minerals LP,2022-02-23,2021-12-31,,USD
DMRC,Digimarc Corporation,2022-02-22,2021-12-31,-0.51,USD
DMS,Digital Media Solutions Inc - Class A,2022-02-24,2021-12-31,0.05,USD
DNB,Dun & Bradstreet Holdings Inc,2022-02-07,2021-12-31,0.3,USD
DNDDF,DNDDF,2022-02-07,2021-12-31,,USD
DNLI,Denali Therapeutics Inc,2022-02-23,2021-12-31,-0.48,USD
DNOW,NOW Inc,2022-02-15,2021-12-31,0.03,USD
DOC,Physicians Realty Trust,2022-02-23,2021-12-31,0.08,USD
DOCRF,DOCRF,2021-11-29,2021-09-30,,USD
DOCU,DocuSign Inc,2021-12-02,2021-10-31,0.46,USD
DOLE,Dole plc,2021-12-03,2021-09-30,,USD
DOMO,Domo Inc - Class B,2021-12-02,2021-10-31,-0.34,USD
DOOO,BRP Inc,2021-12-01,2021-10-31,1.05,USD
DOOR,Masonite International Corp,2022-02-22,2021-12-31,1.94,USD
DORM,Dorman Products Inc,2022-02-21,2021-12-31,1.35,USD
DOV,Dover Corp,2022-01-26,2021-12-31,1.67,USD
DOW,Dow Inc,2022-01-26,2021-12-31,2.21,USD
DOX,Amdocs Ltd,2022-01-31,2021-12-31,1.18,USD
DPMLF,DPMLF,2022-02-09,2021-12-31,,USD
DPXCF,DPXCF,2021-11-29,2021-09-30,,USD
DPZ,Dominos Pizza Inc,2022-02-23,2021-12-31,4.29,USD
DRE,Duke Realty Corp,2022-01-25,2021-12-31,0.2,USD
DRETF,DRETF,2022-02-16,2021-12-31,,USD
DREUF,DREUF,2022-02-14,2021-12-31,,USD
DRH,Diamondrock Hospitality Company,2022-02-22,2021-12-31,0.01,USD
DRI,Darden Restaurants Inc,2021-12-16,2021-11-30,1.44,USD
DRKOF,DRKOF,2022-02-15,2021-12-31,,USD
DRNA,Dicerna Pharmaceuticals Inc,2022-02-23,2021-12-31,-0.54,USD
DRQ,Dril-Quip Inc,2022-02-23,2021-12-31,-0.13,USD
DRTT,DIRTT Environmental Solutions Ltd,2022-02-22,2021-12-31,-0.11,USD
DRUNF,DRUNF,2022-02-21,2021-12-31,,USD
DSGX,Descartes Systems Group Inc,2021-12-01,2021-10-31,0.28,USD
DSKE,Daseke Inc,2022-01-27,2021-12-31,0.08,USD
DSNY,DSNY,2022-01-11,2021-11-30,,USD
DSPG,DSP Group Inc,2022-02-02,2021-12-31,0.07,USD
DSX,Diana Shipping Inc,2022-02-21,2021-12-31,0.29,USD
DT,Dynatrace Inc,2022-02-01,2021-12-31,0.16,USD
DTE,DTE Energy Company,2022-02-17,2021-12-31,0.79,USD
DTGI,DTGI,2021-12-13,2021-10-31,-0.01,USD
DUK,Duke Energy Corp,2022-02-09,2021-12-31,0.98,USD
DVA,DaVita Inc,2022-02-09,2021-12-31,1.85,USD
DVAX,Dynavax Technologies Corp,2022-02-23,2021-12-31,0.64,USD
DVD,Dover Motorsports Inc,2022-01-26,2021-12-31,,USD
DVN,Devon Energy Corp,2022-02-14,2021-12-31,1.26,USD
DWWEF,DWWEF,2022-02-22,2021-12-31,,USD
DX,Dynex Capital Inc,2022-02-02,2021-12-31,0.45,USD
DXC,DXC Technology Company,2022-02-02,2021-12-31,0.91,USD
DXCM,Dexcom Inc,2022-02-09,2021-12-31,0.85,USD
DYNDF,DYNDF,2022-02-14,2021-12-31,,USD
DZSI,DZS Inc,2022-02-21,2021-12-31,0.09,USD
EA,Electronic Arts Inc,2022-02-01,2021-12-31,3.24,USD
EAF,GrafTech International Ltd,2022-02-03,2021-12-31,0.42,USD
EAR,Eargo Inc,2022-02-23,2021-12-31,,USD
EARN,Ellington Residential Mortgage REIT,2022-02-14,2021-12-31,0.31,USD
EAT,Brinker International Inc,2022-02-02,2021-12-31,0.58,USD
EB,Eventbrite Inc - Class A,2022-02-23,2021-12-31,-0.13,USD
EBAY,EBay Inc,2022-02-01,2021-12-31,1,USD
EBC,Eastern Bankshares Inc,2022-01-27,2021-12-31,0.24,USD
EBF,Ennis Inc,2021-12-20,2021-11-30,0.32,USD
EBMT,Eagle Bancorp Montana Inc,2022-01-24,2021-12-31,0.53,USD
EBS,Emergent Biosolutions Inc,2022-02-16,2021-12-31,4.27,USD
EBSB,Meridian Bancorp Inc,2022-01-24,2021-12-31,0.36,USD
EBTC,Enterprise Bancorp Inc,2022-01-26,2021-12-31,,USD
ECHO,Echo Global Logistics Inc,2022-02-01,2021-12-31,0.62,USD
ECIA,ECIA,2022-02-02,2021-12-31,,USD
ECL,Ecolab Inc,2022-02-14,2021-12-31,1.41,USD
ECNCF,ECNCF,2022-02-23,2021-12-31,,USD
ECOL,US Ecology Inc,2022-02-23,2021-12-31,0.28,USD
ECOM,ChannelAdvisor Corp,2022-02-09,2021-12-31,0.24,USD
ECPG,Encore Capital Group Inc,2022-02-22,2021-12-31,2.15,USD
ED,Consolidated Edison Inc,2022-02-16,2021-12-31,0.82,USD
EDIT,Editas Medicine Inc,2022-02-23,2021-12-31,-0.72,USD
EDRY,EuroDry Ltd,2022-02-16,2021-12-31,4.66,USD
EDSA,Edesa Biotech Inc,2021-12-06,2021-09-30,-0.34,USD
EDSA,Edesa Biotech Inc,2022-02-14,2021-12-31,,USD
EDU,New Oriental Education & Technology Group Inc,2022-01-20,2021-11-30,,USD
EDUC,Educational Development Corp,2022-01-10,2021-11-30,,USD
EEFT,Euronet Worldwide Inc,2022-02-07,2021-12-31,1.29,USD
EEX,Emerald Holding Inc,2022-02-16,2021-12-31,,USD
EFBI,EFBI,2022-01-27,2021-12-31,,USD
EFC,Ellington Financial Inc,2022-02-16,2021-12-31,0.48,USD
EFSC,Enterprise Financial Services Corp,2022-01-24,2021-12-31,1.19,USD
EFSI,EFSI,2022-01-27,2021-12-31,,USD
EFX,Equifax Inc,2022-02-08,2021-12-31,1.8,USD
EGAN,eGain Corp,2022-02-08,2021-12-31,0.01,USD
EGBN,Eagle Bancorp Inc (MD),2022-01-25,2021-12-31,1.17,USD
EGHSF,EGHSF,2021-12-15,2021-10-31,,USD
EGHT,8X8 Inc,2022-01-26,2021-12-31,0.01,USD
EGO,Eldorado Gold Corp,2022-02-23,2021-12-31,0.17,USD
EGOV,EGOV,2022-02-08,2021-12-31,,USD
EGP,Eastgroup Properties Inc,2022-02-07,2021-12-31,0.78,USD
EH,EHang Holdings Ltd,2021-12-01,2021-09-30,,CNY
EHC,Encompass Health Corp,2022-01-24,2021-12-31,1.05,USD
EHMEF,EHMEF,2022-02-15,2021-12-31,,USD
EHTH,eHealth Inc,2022-02-16,2021-12-31,0.84,USD
EIC,Eagle Point Income Company Inc,2022-02-21,2021-12-31,,USD
EIFZF,EIFZF,2022-02-15,2021-12-31,,USD
EIG,Employers Holdings Inc,2022-02-15,2021-12-31,0.65,USD
EIX,Edison International,2022-02-23,2021-12-31,1.04,USD
EKSO,Ekso Bionics Holdings Inc,2022-02-23,2021-12-31,-0.25,USD
EL,Estee Lauder Cos. Inc - Class A,2022-02-03,2021-12-31,2.64,USD
ELAN,Elanco Animal Health Inc,2022-02-22,2021-12-31,0.17,USD
ELEMF,ELEMF,2022-02-23,2021-12-31,,USD
ELF,e.l.f. Beauty Inc,2022-02-02,2021-12-31,0.15,USD
ELLO,Ellomay Capital Ltd,2021-11-29,2021-09-30,,USD
ELMD,Electromed Inc,2022-02-07,2021-12-31,0.09,USD
ELS,Equity Lifestyle Properties Inc,2022-01-24,2021-12-31,0.33,USD
ELVT,Elevate Credit Inc,2022-02-07,2021-12-31,-0.39,USD
ELY,Callaway Golf Company,2022-02-08,2021-12-31,-0.28,USD
EMCF,Emclaire Financial Corp,2022-01-27,2021-12-31,,USD
EME,Emcor Group Inc,2022-02-23,2021-12-31,1.88,USD
EMKR,Emcore Corp,2021-11-30,2021-09-30,0.19,USD
EMKR,Emcore Corp,2022-02-01,2021-12-31,,USD
EMLAF,EMLAF,2021-12-09,2021-10-31,,USD
EMN,Eastman Chemical Company,2022-01-26,2021-12-31,1.86,USD
EMR,Emerson Electric Company,2022-01-31,2021-12-31,1,USD
EMRAF,EMRAF,2022-02-14,2021-12-31,,USD
ENB,Enbridge Inc,2022-02-10,2021-12-31,0.58,USD
ENBL,Enable Midstream Partners LP,2022-02-22,2021-12-31,0.25,USD
ENBP,ENBP,2022-01-11,2021-12-31,,USD
ENDP,Endo International plc,2022-02-23,2021-12-31,0.65,USD
ENLC,Enlink Midstream LLC,2022-02-14,2021-12-31,0.06,USD
ENPH,Enphase Energy Inc,2022-02-07,2021-12-31,0.62,USD
ENR,Energizer Holdings Inc,2022-02-07,2021-12-31,0.94,USD
ENRFF,ENRFF,2022-02-22,2021-12-31,,USD
ENS,Enersys,2022-02-08,2021-12-31,0.99,USD
ENSG,Ensign Group Inc,2022-02-01,2021-12-31,0.96,USD
ENTA,Enanta Pharmaceuticals Inc,2022-02-08,2021-12-31,-1.13,USD
ENTG,Entegris Inc,2022-01-31,2021-12-31,0.89,USD
ENV,Envestnet Inc,2022-02-23,2021-12-31,0.49,USD
ENVA,Enova International Inc,2022-02-02,2021-12-31,1.25,USD
ENZ,Enzo Biochem Inc,2021-12-07,2021-10-31,,USD
EOG,EOG Resources Inc,2022-02-23,2021-12-31,3.17,USD
EOSE,Eos Energy Enterprises Inc - Class A,2022-02-23,2021-12-31,-0.43,USD
EPAC,Enerpac Tool Group Corp - Class A,2021-12-21,2021-11-30,0.21,USD
EPAM,EPAM Systems Inc,2022-02-16,2021-12-31,2.5,USD
EPAY,Bottomline Technologies (Delaware) Inc,2022-01-31,2021-12-31,0.25,USD
EPC,Edgewell Personal Care Company,2022-02-07,2021-12-31,0.41,USD
EPD,Enterprise Products Partners L P,2022-02-01,2021-12-31,0.54,USD
EPIX,Essa Pharma Inc,2022-02-09,2021-12-31,-0.23,USD
EPR,EPR Properties,2022-02-22,2021-12-31,0.33,USD
EPRT,Essential Properties Realty Trust Inc,2022-02-21,2021-12-31,0.18,USD
EPZM,Epizyme Inc,2022-02-21,2021-12-31,-0.5,USD
EQBK,Equity Bancshares Inc - Class A,2022-01-24,2021-12-31,0.58,USD
EQC,Equity Commonwealth,2022-02-08,2021-12-31,-0.03,USD
EQGPF,EQGPF,2022-02-21,2021-12-31,,USD
EQH,Equitable Holdings Inc,2022-02-21,2021-12-31,1.45,USD
EQIX,Equinix Inc,2022-02-08,2021-12-31,1.4,USD
EQR,Equity Residential Properties Trust,2022-02-08,2021-12-31,0.37,USD
EQT,EQT Corp,2022-02-15,2021-12-31,0.57,USD
ERF,Enerplus Corporation,2022-02-17,2021-12-31,0.49,USD
ERIE,Erie Indemnity Co. - Class A,2022-02-23,2021-12-31,1.18,USD
ES,Eversource Energy,2022-02-14,2021-12-31,0.93,USD
ESBK,Elmira Savings Bank,2022-01-25,2021-12-31,,USD
ESBS,ESBS,2022-01-31,2021-12-31,,USD
ESCA,Escalade Inc,2022-02-16,2021-12-31,0.19,USD
ESE,Esco Technologies Inc,2022-02-07,2021-12-31,0.52,USD
ESEA,Euroseas Ltd,2022-02-22,2021-12-31,2.93,USD
ESI,Element Solutions Inc,2022-02-22,2021-12-31,0.3,USD
ESNT,Essent Group Ltd,2022-02-17,2021-12-31,1.39,USD
ESOA,ESOA,2021-12-06,2021-09-30,0.16,USD
ESOA,ESOA,2022-02-14,2021-12-31,,USD
ESP,Espey Manufacturing & Electronics Corp,2022-02-14,2021-12-31,,USD
ESPR,Esperion Therapeutics Inc,2022-02-21,2021-12-31,-2.77,USD
ESQ,Esquire Financial Holdings Inc,2022-01-24,2021-12-31,0.65,USD
ESRT,Empire State Realty Trust Inc - Class A,2022-02-15,2021-12-31,-0.08,USD
ESS,Essex Property Trust Inc,2022-02-02,2021-12-31,1.09,USD
ESSA,ESSA Bancorp Inc,2022-01-25,2021-12-31,0.45,USD
ESTC,Elastic N.V,2021-12-01,2021-10-31,-0.16,USD
ESTC,Elastic N.V,2022-02-22,2022-01-31,,USD
ESXB,Community Bankers Trust Corp,2022-01-27,2021-12-31,0.23,USD
ET,Energy Transfer LP,2022-02-15,2021-12-31,0.29,USD
ETD,Ethan Allen Interiors Inc,2022-01-26,2021-12-31,0.75,USD
ETH,ETH,2022-01-26,2021-12-31,,USD
ETN,Eaton Corporation plc,2022-01-31,2021-12-31,1.73,USD
ETR,Entergy Corp,2022-02-22,2021-12-31,0.68,USD
ETRN,Equitrans Midstream Corporation,2022-02-21,2021-12-31,0.2,USD
ETSY,Etsy Inc,2022-02-23,2021-12-31,0.77,USD
EUMNF,EUMNF,2021-12-16,2021-09-30,,USD
EUMNF,EUMNF,2022-02-14,2021-12-31,,USD
EVA,Enviva Partners LP,2022-02-22,2021-12-31,0.5,USD
EVBG,Everbridge Inc,2022-02-16,2021-12-31,-0.19,USD
EVBN,Evans Bancorp Inc,2022-02-02,2021-12-31,1.04,USD
EVER,EverQuote Inc - Class A,2022-02-21,2021-12-31,-0.3,USD
EVH,Evolent Health Inc - Class A,2022-02-23,2021-12-31,0.01,USD
EVI,EVI Industries Inc,2022-02-07,2021-12-31,,USD
EVOP,EVO Payments Inc - Class A,2022-02-23,2021-12-31,0.26,USD
EVR,Evercore Inc - Class A,2022-02-01,2021-12-31,4.33,USD
EVRG,Evergy Inc,2022-02-24,2021-12-31,0.15,USD
EVTZF,EVTZF,2021-12-08,2021-10-31,,USD
EW,Edwards Lifesciences Corp,2022-01-25,2021-12-31,0.55,USD
EWBC,East West Bancorp Inc,2022-01-26,2021-12-31,1.57,USD
EWOOF,EWOOF,2021-12-27,2021-10-31,,USD
EXAS,Exact Sciences Corp,2022-02-14,2021-12-31,-0.87,USD
EXC,Exelon Corp,2022-02-22,2021-12-31,0.88,USD
EXCOF,EXCOF,2021-12-01,2021-09-30,,USD
EXCOF,EXCOF,2022-01-31,2021-12-31,,USD
EXEL,Exelixis Inc,2022-02-08,2022-01-31,0.08,USD
EXETF,EXETF,2022-02-23,2021-12-31,,USD
EXFO,EXFO,2022-01-10,2021-11-30,,USD
EXLS,Exlservice Hldgs Inc,2022-02-23,2021-12-31,1.17,USD
EXP,Eagle Materials Inc,2022-01-26,2021-12-31,2.47,USD
EXPD,Expeditors International Of Washington Inc,2022-02-22,2021-12-31,2.05,USD
EXPE,Expedia Group Inc,2022-02-09,2021-12-31,0.71,USD
EXPO,Exponent Inc,2022-02-02,2022-01-31,0.35,USD
EXPR,Express Inc,2021-12-02,2021-11-30,0.02,USD
EXR,Extra Space Storage Inc,2022-02-21,2021-12-31,1.28,USD
EXRTF,EXRTF,2021-12-21,2021-10-31,,USD
EXSR,EXSR,2022-02-14,2021-12-31,,USD
EXTR,Extreme Networks Inc,2022-01-25,2021-12-31,0.17,USD
EZPW,EZCorp Inc - Class A,2022-02-01,2021-12-31,0.13,USD
F,Ford Motor Company,2022-02-02,2021-12-31,0.39,USD
FAF,First American Financial Corp,2022-02-10,2021-12-31,1.64,USD
FANG,Diamondback Energy Inc,2022-02-21,2021-12-31,3.42,USD
FARM,Farmer Bros. Company,2022-02-02,2021-12-31,-0.27,USD
FARO,Faro Technologies Inc,2022-02-15,2021-12-31,0.49,USD
FAST,Fastenal Company,2022-01-19,2021-12-31,0.36,USD
FATE,Fate Therapeutics Inc,2022-02-22,2021-12-31,-0.66,USD
FB,Meta Platforms Inc - Class A,2022-01-25,2021-12-31,3.83,USD
FBAK,FBAK,2022-02-02,2021-12-31,,USD
FBAYF,FBAYF,2022-02-21,2021-12-31,,USD
FBC,Flagstar Bancorp Inc,2022-01-19,2021-12-31,1.69,USD
FBHS,Fortune Brands Home & Security Inc,2022-01-31,2021-12-31,1.29,USD
FBIZ,First Business Financial Services Inc,2022-01-26,2021-12-31,0.94,USD
FBK,FB Financial Corp,2022-01-24,2021-12-31,0.8,USD
FBMS,First Bancshares Inc Miss,2022-01-24,2021-12-31,0.75,USD
FBNC,First Bancorp,2022-01-25,2021-12-31,0.68,USD
FBP,First Bancorp PR,2022-01-27,2021-12-31,0.32,USD
FBRT_OLD,FBRT_OLD,2022-01-25,2021-12-31,,USD
FBSI,FBSI,2022-01-20,2021-12-31,,USD
FC,Franklin Covey Company,2022-01-01,2021-11-30,0.05,USD
FCAP,First Capital Inc,2022-01-24,2021-12-31,,USD
FCBC,First Community Bankshares Inc,2022-01-18,2021-12-31,0.68,USD
FCBP,FCBP,2022-01-24,2021-12-31,,USD
FCCO,First Community Corp,2022-01-18,2021-12-31,0.49,USD
FCEL,Fuelcell Energy Inc,2022-01-19,2021-10-31,-0.04,USD
FCF,First Commonwealth Financial Corp,2022-01-24,2021-12-31,0.33,USD
FCFS,FirstCash Inc,2022-01-26,2021-12-31,1.14,USD
FCN,FTI Consulting Inc,2022-02-23,2021-12-31,1.16,USD
FCNCA,First Citizens Bancshares Inc (NC) - Class A,2022-01-24,2021-12-31,-0.07,USD
FCPT,Four Corners Property Trust Inc,2022-02-15,2021-12-31,0.28,USD
FCX,Freeport-McMoRan Inc,2022-01-24,2021-12-31,0.86,USD
FCXXF,FCXXF,2022-02-07,2021-12-31,,USD
FDBC,Fidelity D&D Bancorp Inc,2022-01-25,2021-12-31,,USD
FDP,Fresh Del Monte Produce Inc,2022-02-22,2021-12-31,-0.04,USD
FDS,Factset Research Systems Inc,2021-12-21,2021-11-30,2.99,USD
FDUS,Fidus Investment Corp,2022-02-23,2021-12-31,0.36,USD
FDX,Fedex Corp,2021-12-16,2021-11-30,4.24,USD
FE,Firstenergy Corp,2022-02-16,2021-12-31,0.5,USD
FEDU,Four Seasons Education (Cayman) Inc,2021-11-29,2021-08-31,,USD
FEDU,Four Seasons Education (Cayman) Inc,2022-01-10,2021-11-30,,USD
FEIM,Frequency Electronics Inc,2021-12-08,2021-10-31,,USD
FELE,Franklin Electric Co. Inc,2022-02-14,2021-12-31,0.66,USD
FET,Forum Energy Technologies Inc,2022-02-21,2021-12-31,-0.8,USD
FETM,FETM,2022-01-31,2021-12-31,,USD
FFBC,First Financial Bancorp,2022-01-26,2021-12-31,0.55,USD
FFG,FFG,2022-02-02,2021-12-31,,USD
FFIC,Flushing Financial Corp,2022-01-27,2021-12-31,0.68,USD
FFIN,First Financial Bankshares Inc,2022-01-26,2021-12-31,0.38,USD
FFIV,F5 Inc,2022-01-24,2021-12-31,2.78,USD
FFLWF,FFLWF,2021-12-13,2021-10-31,,USD
FFMH,FFMH,2022-01-24,2021-12-31,,USD
FFNW,First Financial Northwest Inc,2022-01-26,2021-12-31,0.33,USD
FFWC,FFWC,2022-01-25,2021-12-31,,USD
FFWM,First Foundation Inc,2022-01-24,2021-12-31,0.36,USD
FFXDF,FFXDF,2022-02-09,2021-12-31,0.17,USD
FGBI,First Guaranty Bancshares Inc,2022-02-01,2021-12-31,0.72,USD
FGPR,FGPR,2021-12-13,2021-10-31,,USD
FGPRQ,FGPRQ,2021-12-13,2021-10-31,,USD
FHB,First Hawaiian Inc,2022-01-20,2021-12-31,0.47,USD
FHI,Federated Hermes Inc - Class B,2022-01-26,2021-12-31,0.71,USD
FHN,First Horizon Corporation,2022-01-20,2021-12-31,0.38,USD
FI,FI,2022-02-21,2021-12-31,,USD
FIBK,First Interstate BancSystem Inc - Class A,2022-01-26,2021-12-31,0.72,USD
FICO,Fair Isaac Corp,2022-01-26,2021-12-31,3.31,USD
FINGF,FINGF,2022-02-07,2021-12-31,,USD
FIS,Fidelity National Information Services Inc,2022-02-07,2021-12-31,1.96,USD
FISI,Financial Institutions Inc,2022-01-26,2021-12-31,0.91,USD
FISV,Fiserv Inc,2022-02-07,2021-12-31,1.56,USD
FITB,Fifth Third Bancorp,2022-01-20,2021-12-31,0.9,USD
FIVE,Five Below Inc,2021-12-01,2021-10-31,0.29,USD
FIVN,Five9 Inc,2022-02-21,2021-12-31,0.36,USD
FIX,Comfort Systems USA Inc,2022-02-23,2021-12-31,1.04,USD
FIZZ,National Beverage Corp,2021-12-08,2021-11-30,0.5,USD
FKWL,Franklin Wireless Corp,2022-02-14,2021-12-31,,USD
FKYS,FKYS,2022-01-27,2021-12-31,,USD
FL,Foot Locker Inc,2022-02-24,2021-11-30,1.49,USD
FLDM,Fluidigm Corp,2022-02-08,2021-12-31,-0.16,USD
FLES,FLES,2021-12-13,2021-10-31,-0.54,USD
FLEX,Flex Ltd,2022-01-26,2021-12-31,0.42,USD
FLIC,First Of Long Island Corp,2022-01-27,2021-12-31,0.39,USD
FLO,Flowers Foods Inc,2022-02-09,2021-12-31,0.21,USD
FLOOF,FLOOF,2021-11-29,2021-09-30,-0.01,USD
FLOW,SPX FLOW Inc,2022-02-08,2021-12-31,0.9,USD
FLR,Fluor Corporation,2022-02-24,2021-12-31,0.27,USD
FLS,Flowserve Corp,2022-02-21,2021-12-31,0.49,USD
FLT,Fleetcor Technologies Inc,2022-02-02,2021-12-31,3.6,USD
FLUX,Flux Power Holdings Inc,2022-02-09,2021-12-31,-0.26,USD
FLWPF,FLWPF,2021-11-29,2021-09-30,,USD
FLWS,1-800 Flowers.com Inc - Class A,2022-01-26,2021-12-31,1.82,USD
FLXS,Flexsteel Industries Inc,2022-01-24,2021-12-31,,USD
FLY,FLY,2022-02-23,2021-12-31,,USD
FMAO,Farmers & Merchants Bancorp Inc,2022-02-03,2021-12-31,0.5,USD
FMBH,First Mid Bancshares Inc,2022-01-26,2021-12-31,0.91,USD
FMBI,First Midwest Bancorp Inc,2022-01-24,2021-12-31,0.44,USD
FMBL,FMBL,2022-01-19,2021-12-31,,USD
FMBM,FMBM,2022-01-26,2021-12-31,,USD
FMC,FMC Corp,2022-02-07,2021-12-31,2.02,USD
FMCB,FMCB,2022-02-02,2021-12-31,0.67,USD
FMCC,FMCC,2022-02-09,2021-12-31,,USD
FMNB,Farmers National Banc Corp,2022-01-26,2021-12-31,0.42,USD
FN,Fabrinet,2022-01-31,2021-12-31,1.46,USD
FNB,F.N.B. Corp,2022-01-17,2021-12-31,0.3,USD
FNCB,FNCB Bancorp Inc,2022-01-27,2021-12-31,,USD
FND,Floor & Decor Holdings Inc - Class A,2022-02-23,2021-12-31,0.44,USD
FNF,Fidelity National Financial Inc,2022-02-22,2021-12-31,1.57,USD
FNLC,First Bancorp Inc (ME),2022-01-18,2021-12-31,,USD
FNMA,FNMA,2022-02-10,2021-12-31,,USD
FNRN,FNRN,2022-01-26,2021-12-31,,USD
FNWB,First Northwest Bancorp,2022-01-26,2021-12-31,0.27,USD
FNWD,Finward Bancorp,2022-01-25,2021-12-31,,USD
FOCS,Focus Financial Partners Inc - Class A,2022-02-16,2021-12-31,1.03,USD
FOE,Ferro Corp,2022-02-23,2021-12-31,0.26,USD
FONR,Fonar Corp,2022-02-14,2021-12-31,,USD
FOR,Forestar Group Inc New,2022-01-19,2021-12-31,0.67,USD
FORD,Forward Industries Inc,2021-12-13,2021-09-30,,USD
FORD,Forward Industries Inc,2022-02-10,2021-12-31,,USD
FORM,FormFactor Inc,2022-02-01,2021-12-31,0.41,USD
FORR,Forrester Research Inc,2022-02-09,2021-12-31,0.56,USD
FOXA,Fox Corporation - Class A,2022-02-07,2021-12-31,-0.01,USD
FOXF,Fox Factory Holding Corp,2022-02-23,2022-01-31,1.05,USD
